id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
1264,"Senior Data Scientist","DATA SCIENTIST","Varsity Tutors",Chicago,IL,None,None,None
1265,"Director, Data Science & Analytics - Consumer Product","DATA SCIENTIST",DoorDash,Chicago,IL,None,None,None
1266,"Machine Learning Scientist","DATA SCIENTIST",Glassdoor,Chicago,IL,"$129,300 - $193,900 a year",150K+,125K+
1267,"Data Analyst Senior","DATA SCIENTIST","Northwestern University",Chicago,IL,None,None,None
1268,"Senior Gaming Mathematician","DATA SCIENTIST","Light & Wonder",Chicago,IL,"Estimated $101K - $127K a year",125K+,100K+
1269,"Data Science Modeler","DATA SCIENTIST",Discover,Chicago,IL,None,None,None
1270,"Machine Learning Engineer","DATA SCIENTIST",WALGREENS,Chicago,IL,None,None,None
1271,"Associate Director, Safety Data Sciences","DATA SCIENTIST",Abbvie,Chicago,IL,None,None,None
1272,"Senior Data Scientist","DATA SCIENTIST",HelloFresh,Chicago,IL,None,None,None
1273,"Commercial Bank - Data Scientist - Sr Associate","DATA SCIENTIST","JPMorgan Chase Bank, N.A.",Chicago,IL,None,None,None
1274,"Lead Data Scientist","DATA SCIENTIST","Blue Cross Blue Shield of IL, MT, NM, OK & TX",Chicago,IL,None,None,None
