id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
359,"Collections Business Analyst","DATA ANALYST","The Art Institute of Chicago",Chicago,IL,"Estimated $62.8K – $79.6K a year",75K+,50K+
360,"Senior Analyst - Operations Data Analytics","DATA ANALYST","United Airlines Inc.",Chicago,IL,None,None,None
361,"Operations Analyst - Customer Service (North of Chicago)","DATA ANALYST",Uline,Chicago,IL,None,None,None
362,"Business Analyst (North of Chicago)","DATA ANALYST",Uline,Chicago,IL,None,None,None
363,"Data Specialist","DATA ANALYST","HighTower Advisors",Chicago,IL,"Estimated $66K - $83.6K a year",75K+,50K+
364,"Risk Analyst","DATA ANALYST","HighTower Advisors",Chicago,IL,"Estimated $56.7K - $71.7K a year",50K+,50K+
365,"Data Analyst 2 - Collections Strategy - Remote","DATA ANALYST","Nordstrom Card Services Inc",Chicago,IL,None,None,None
366,"Business Analyst - Research","DATA ANALYST","Ann & Robert H. Lurie Children’s Hospital of Chicago",Chicago,IL,None,None,None
367,"Data Analytics Experienced Associate","DATA ANALYST","PRICE WATERHOUSE COOPERS",Chicago,IL,None,None,None
368,Analyst,"DATA ANALYST","Northwestern Medicine",Chicago,IL,None,None,None
369,"Business Analyst (Hybrid)","DATA ANALYST","DePaul University",Chicago,IL,"Estimated $69.7K - $88.3K a year",75K+,50K+
370,"Associate Business Analyst, Law School","DATA ANALYST","Northwestern University",Chicago,IL,None,None,None
371,"Business Information Analyst II","DATA ANALYST",Anthem,Chicago,IL,None,None,None
372,"Strategic Analyst","DATA ANALYST","Regional Transportation Authority Chicago",Chicago,IL,"$54,676 - $82,016 a year",75K+,50K+
373,"Business Systems Analyst","DATA ANALYST","The University of Chicago Medicine",Chicago,IL,None,None,None
374,"Digital Solutions Business Analyst","DATA ANALYST","Fidelity Investments",Chicago,IL,None,None,None
