id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
215,"Data Analyst","DATA ANALYST",Pearson,"San Francisco",CA,None,None,None
216,"Revenue Data Analyst","DATA ANALYST",Miro,"San Francisco",CA,"Estimated $76.5K – $96.9K a year",75K+,75K+
217,"Equity Research Analyst/Associate- Internet, San Fran","DATA ANALYST","Bank of America","San Francisco",CA,None,None,None
218,"Specialty Pharmacy Business Analyst","DATA ANALYST","University of California San Francisco","San Francisco",CA,None,None,None
219,"Data Analyst, Growth (Customer Research)","DATA ANALYST",Hopper,"San Francisco",CA,None,None,None
220,"Data Analyst (REMOTE)","DATA ANALYST","Ryder System","San Francisco",CA,None,None,None
221,"Workforce Analyst, Mission Control","DATA ANALYST","Facebook App","San Francisco",CA,None,None,None
222,"Data Analyst, Finance","DATA ANALYST",Faire,"San Francisco",CA,"Estimated $88.8K – $112K a year",100K+,75K+
223,"Security and Abuse Data Analyst, Safe Browsing","DATA ANALYST",Google,"San Francisco",CA,None,None,None
224,"Sr. Analyst, Client Analytics","DATA ANALYST",Affirm,"San Francisco",CA,"Estimated $71K – $90K a year",75K+,50K+
