id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
62,"Data Analytics Consulting - Experienced Associate","DATA ANALYST","PRICE WATERHOUSE COOPERS",Seattle,WA,None,None,None
63,"Data Analyst","DATA ANALYST",System1,Seattle,WA,"Estimated $72.1K - $91.3K a year",75K+,50K+
64,"Senior Data Analyst - Product Analytics","DATA ANALYST",Salesforce,Seattle,WA,"$82,400 a year",75K+,75K+
65,"Business Analyst (Vancouver OR Seattle)","DATA ANALYST",Lululemon,Seattle,WA,"Estimated $89.1K - $113K a year",100K+,75K+
66,"Senior Data Analyst (North America Guest Insights) *Seattle","DATA ANALYST",Lululemon,Seattle,WA,"Estimated $89.4K - $113K a year",100K+,75K+
67,"Senior Business Intelligence Analyst","DATA ANALYST",NBCUniversal,Seattle,WA,None,None,None
68,"Business Intelligence Analyst","DATA ANALYST","Amazon Data Services, Inc.",Seattle,WA,None,None,None
69,"Business Operations Analyst","DATA ANALYST",McKinstry,Seattle,WA,"Estimated $73.2K - $92.8K a year",75K+,50K+
70,"Business Analyst, People Analytics","DATA ANALYST",Convoy,Seattle,WA,"Estimated $73.2K - $92.6K a year",75K+,50K+
71,"Business Intelligence Analyst - Central Analytics -All Levels","DATA ANALYST","Blue Origin",Seattle,WA,None,None,None
72,"Reporting & Analytics, Technical Analyst","DATA ANALYST",Meta,Seattle,WA,None,None,None
73,"Data Analytics Associate- Human Services","DATA ANALYST","Mathematica Policy Research",Seattle,WA,"$55,000 - $70,000 a year",50K+,50K+
74,"Senior Associate, Data & Analytics Consultant","DATA ANALYST",KPMG,Seattle,WA,None,None,None
