id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
812,"FULLY REMOTE - Data Engineer - Python","DATA ENGINEER",CyberCoders,Chicago,IL,"$130,000 - $160,000 a year",150K+,125K+
813,"Data Center Engineer","DATA ENGINEER","ECCO Select",Chicago,IL,"$55 - $61 an hour",100K+,100K+
814,"Data Engineer / Data Scientist","DATA ENGINEER","Chamberlain Advisors LLC",Chicago,IL,"Estimated $121K – $153K a year",150K+,100K+
815,"Senior Data Engineer - Platform (Remote)","DATA ENGINEER","New Relic",Chicago,IL,"Estimated $108K – $137K a year",125K+,100K+
816,"Associate, Software Engineer - Advisory Data Organization","DATA ENGINEER",KPMG,Chicago,IL,None,None,None
817,"Data Engineer, Associate Data Engineer","DATA ENGINEER",PepsiCo,Chicago,IL,None,None,None
818,"Data Engineer II","DATA ENGINEER",Grainger,Chicago,IL,None,None,None
819,"Software Engineer (Data Team)","DATA ENGINEER","Capital Management",Chicago,IL,"Estimated $89.9K – $114K a year",100K+,75K+
820,"Data Platform Engineer","DATA ENGINEER",Upstart,Chicago,IL,None,None,None
821,"Senior Associate, Data Scientist Engineer - Advisory Data Organization","DATA ENGINEER",KPMG,Chicago,IL,None,None,None
822,"One Demand Data Analytics (ODDA) DevOps Engineer","DATA ENGINEER",MARS,Chicago,IL,None,None,None
823,"Data Engineer","DATA ENGINEER",Provi,Chicago,IL,"Estimated $102K – $129K a year",125K+,100K+
824,"Senior Big Data Engineer","DATA ENGINEER","Integral Ad Science",Chicago,IL,"Estimated $126K – $159K a year",150K+,125K+
